candidate_id,path,classification,reason,owner_guess,current_registry_status,review_decision,can_be_ignored_in_future_scan
candidate-tools-policy-eval,tools/policy-eval,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-prompt-assemble,tools/prompt-assemble,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-s1-sampler,tools/s1-sampler,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-demo-auto-resume-restart-test,tools/demo-auto-resume-restart-test,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-multi-spawn,tools/multi-spawn,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-policy-entry-reconcile,tools/policy-entry-reconcile,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-shadow_watcher,tools/shadow_watcher,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-pre-reply-guard,tools/pre-reply-guard,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-embedding-policy,tools/probe-embedding-policy,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-revalidate_calibration.py,tools/revalidate_calibration.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-project-gate-sweep,tools/project-gate-sweep,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-test-callback-auto,tools/test-callback-auto,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-srap-start-shadow,tools/srap-start-shadow,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-context-overflow,tools/probe-context-overflow,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-retry-policy,tools/retry-policy,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-session-archive,tools/session-archive,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-session-start-recovery.bak,tools/session-start-recovery.bak,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-gate-self-health-check,tools/gate-self-health-check,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-probe-webhook-fallback,tools/probe-webhook-fallback,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-v1_v2_replay_eval.py,tools/v1_v2_replay_eval.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-soak-metrics,tools/agent-soak-metrics,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-instance-readiness-check,tools/agent-instance-readiness-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-check_v2_baseline.py,tools/check_v2_baseline.py,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-session-state-doctor,tools/session-state-doctor,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-trigger-spawn,tools/trigger-spawn,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-shadow_trace_collector.py,tools/shadow_trace_collector.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-session-deep-audit,tools/session-deep-audit,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-debug-hooks,tools/debug-hooks,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-subagent-orchestration,tools/probe-subagent-orchestration,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-session-route-probe,tools/session-route-probe,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-decision_context_extractor.py,tools/decision_context_extractor.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-safe-replace,tools/safe-replace,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-incident-report,tools/agent-incident-report,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-subagent-inbox-metrics,tools/subagent-inbox-metrics,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-subagent-conflict,tools/subagent-conflict,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-task-ledger,tools/task-ledger,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-testbot-monitor,tools/testbot-monitor,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-materialize-state,tools/materialize-state,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-project-check-init,tools/project-check-init,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-project-check-run,tools/project-check-run,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-memory-scope-router,tools/memory-scope-router,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-mvp11-6-daily-check,tools/mvp11-6-daily-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-memory-retrieval,tools/probe-memory-retrieval,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-continuity-event-log,tools/continuity-event-log,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-memory-risk-alerts,tools/memory-risk-alerts,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-s1-daily-report,tools/s1-daily-report,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-session-continuity-daily-check,tools/session-continuity-daily-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-memory-lancedb-seed,tools/memory-lancedb-seed,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-openviking-l2-smoke-test,tools/openviking-l2-smoke-test,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-ci-memory-hardening,tools/ci-memory-hardening,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-retrieval-regression-runner,tools/retrieval-regression-runner,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-capability-check,tools/agent-capability-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-tool_doctor,tools/tool_doctor,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-parse-used-memory,tools/parse-used-memory,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-self-health-scheduler,tools/agent-self-health-scheduler,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-gate-b-signer,tools/gate-b-signer,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-check-continuity-live-sources,tools/check-continuity-live-sources,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-agent-telemetry-normalize,tools/agent-telemetry-normalize,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-run-state,tools/run-state,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-proposal-summary,tools/agent-proposal-summary,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-agent-forgetting-guard,tools/agent-forgetting-guard,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-mailbox-integrity,tools/probe-mailbox-integrity,P2,自动分类为 P2,unknown,unregistered,pending,True
